Name,No,Depth_min,Depth_max,T_min,T_max,P_min ,P_max,CO2_min,CO2_max,Densities,Leakage,Leakage pathways,Basin Type,CO2 source,CO2 held for,Size (Tcf),Trapping mechanism,Fault bound/sealed?,Reservoir,Reservoir thickness (Gross),Reservoir Thickness Net,Seal,Seal thickness,Stacked resevoirs,No. of stacked reservoirs,Literature,Well log & pressure ,Offshore
Jackson Dome,1,4660,NA,150,NA,NA,NA,70,90,654.6,No,,,Mixed,,11,Structural and salt structures,NA,Carbonates; Sandstones,,,Mudstones,,NA,,"Stevens et al., 2001; Stuart&Kosik, 1977; Rice et al, 1997; Schenk & Viger",,No
El Trapial Field,10,1234,NA,56,NA,64,NA,74.24,NA,141.0,No,,,NA,,,"Dome, Structural",NA,Sandstone,,,,,NA,,"Blann et al., 1997; Crotti et al, 2007; Orchuela et al., 2003",,No
Messokampos,13,NA,500,25,NA,0.5,NA,99.5,NA,0.9,Yes,Rock discontinouities,,Carbonates/minor magmatic,,,Stratigraphic,NA,Sands ,260,,Clay,10s,NA,,"Gaus et al, 2004; TNO poster",,No
Budafa Field,24,3200,3400,164,NA,295,NA,81,NA,451.6,No,,,"Carbonates, Magmatic",,,,NA,Sandstone,100,,?,,Yes,,"Doleschall et al., 1992, Gacho-Muro, 2005 Kiraly et al, 2014, Clayton et al, 1990",,No
DF1-1 Field,41,1280,1450,70,NA,NA,NA,51,71,378.3,No,,,Thermogenic,,,Mudstone Diapir,NA,Sandstones,,,Mudstones,,Yes,3,"Huang et al., 2003, 2004; Zhu et al, 2009, Zhenfeng, 2008",,Yes
LD28-1 Field,42,1655,NA,69.545,79.475,NA,NA,88.1,NA,562.1,No,,,Thermogenic,,,Mudstone Diapir,NA,Sandstones,,,Mudstones,,NA,,"Huang et al., 2003",,Yes
LD15-1 Field,43,1428,1873,60.692,89.285,NA,NA,63,85,555.5,No,,,Thermogenic,,,Mudstone Diapir,NA,Sandstones,,,Mudstones,,NA,,"Huang et al., 2003",,Yes
New Plymouth Area,49,375,560,32.36,32.92,NA,NA,50,77,79.0,Inconclusive,,,Mixed,,,,NA,Sandstones,,,Claystone/Siltstone,,Yes,,"Hulston et al., 2001; Lyon, 1996; Leitner et al., 2000",x,Yes
Moxa arch,3,3600,4900,97,126,450,500,66,90,798.7,No,,,Inorganic sulphate reduction,50 Ma,240,Anticline,No,Limestone; Dolomite,350,,Evaporites; Shales,>200,Yes,2,"Becker & Lynds (2012); Kaszuba et al., 2011; Allis et al., 2001",,No
McElmo Dome,7,2300,2450,57.5,103.5,240,NA,98.2,NA,789.2,No,,,Mantle,,17,Anticline,No,"Dolomite, Limestone",90,21,Salt,,No,,"Allis et al. (2001), Gerling (1983)",,No
Quebrache Field ,11,900,1100,56,NA,58,106,60,92,122.7,No,,,Organic matter,,,Stratigraphic ,No,Sandstone & Carbonates,90,,Mudstones; Anhydrite,400,No,,"Gachuz-Muro et al., 2011; Gachuz-Muro et al, 2007",,No
Vorderrhön,15,465,995,20,35,45,70,97,99.5,116.9,No,,,Magmatic *,,,Structural,No,"Sandstone, Siltstone, Limestone & Anhydrite",300,,Anhydrite & claystones,200-300,No,,"Pearce et al., 2002 & 2004",,No
Benevento Field,17,2715,NA,100.4,NA,271,NA,NA,98.85,621.2,No,,,Deep Crust,,,Antiform,No,Carbonate,1432,,"Evaporite, Carbonates",>600,No,,"Roberts, 2012; well log",x,No
Monte Taburno Reservoir,18,2600,NA,142.1,NA,345,NA,90,NA,571.3,Inconclusive,,,Deep Crust,,,Antiform,No,Carbonates,280,,Thrust deposits,>300,No,,"Roberts, 2012; well log",x,No
Muscillo Reservoir,19,694,NA,55.5,NA,63,NA,97,NA,138.4,No,,,Deep Crust,,,,No,Carbonates,100,,Mudstone,300,No,,"Roberts, 2012; Well log",x,No
Acerno Reservoir,20,4262,NA,81,NA,618,NA,97,NA,919.3,No,,,Deep Crust,,,Horst (structural),No,Carbonates,192,,,,No,,"Roberts, 2012; well log",x,No
Ping Fang Wang Field,30,1450,1490,70,NA,NA,NA,68,79,470.5,No,,,Mantle,,,Dome Anticline,No,Dolomite,100,,Mudstone,100s(?),No,,"Anping et al., 2009; Dai et al, 2000; Gong et al., 2003",,No
Nong'ancun Field,39,2755,3620,130,165,NA,NA,84,NA,506.4,No,,,Mantle,,,Structural/stratigraphic (intrusion bound) ,No,"Volcanics, conglomerates",300,,Mudstones,500,NA,,"Dai et al., 2005; Dai et al., 2000",,No
Natuna D-Alpha Block,44,3000,NA,NA,NA,410,NA,72,NA,845.4,No,,,NA,,,Structural stratigraphic ,No,Limestone,1500,,Shale/Clay,3000,No,,"Bell et al., 1987",,Yes
Caroline,46,2791,3017,86,NA,256,NA ,98.6,99.1,665.5,No,,,Mantle,5ka,,Structural (4 way closure) ,No,Sandstones ,80,,Shale and Siltstones,~200,No,,"LeBlanc et al (1967), Watson 2012, Chivas et al, 1987",,No
